dataset,algorithm,k,coreset_size,coreset_size_factor,running_time,real_cost,coreset_cost,distortion,real_cost_synthetic,coreset_cost_synthetic,distortion_synthetic,real_cost_synthetic2,coreset_cost_synthetic2,distortion_synthetic2
NYTimes,Group Sampling,20,4000,200,81.0,272755856.91036415,262381568.8228931,1.0395389361151113,286818856.02899826,281068397.63306516,1.0204592848017027,276479268.2976865,268504638.7943124,1.0297001554207152
NYTimes,Group Sampling,20,4000,200,84.0,272704260.69014674,262706327.6072761,1.038057450591052,287473960.8351417,283050000.66252637,1.0156296066499217,276731497.1502602,269366257.0667106,1.0273428459962064
NYTimes,Group Sampling,20,4000,200,73.0,271156532.558442,260914944.4259362,1.0392525930434506,286557097.74897015,280724064.31300205,1.0207785301564472,275549527.8014121,267478357.751825,1.0301750396459208
NYTimes,Group Sampling,20,4000,200,79.0,272289795.2160093,263133242.22678313,1.034798161234735,291996787.19503766,286880015.3542619,1.0178359298902615,277069256.8399295,270116843.9929774,1.025738538715982
NYTimes,Group Sampling,20,4000,200,87.0,273092480.7438302,262629328.35922337,1.0398399997821088,287261723.0062834,281227050.37450105,1.0214583647758855,276343198.4663812,268169251.89928097,1.0304805510296542
NYTimes,Group Sampling,20,4000,200,80.0,273332116.1406308,264895387.53392106,1.031849284675179,287026401.7763288,283506568.7135714,1.0124153492412145,278525117.9469255,272470392.68612033,1.022221589660129
NYTimes,Group Sampling,20,4000,200,72.0,272301069.7860975,263538779.46808317,1.0332485804772256,288625887.70360446,284827820.0320511,1.0133346092075064,276577910.9156469,270186198.546858,1.0236566945431167
NYTimes,Group Sampling,20,4000,200,76.0,272202204.01634777,262605130.9369807,1.0365456419115822,293532030.455261,288230199.3241879,1.0183944331423436,274837872.2013858,267564101.02567568,1.0271851535681618
NYTimes,Group Sampling,20,4000,200,81.0,273306709.30084205,262409127.71240205,1.0415289730332233,287460321.5730472,280477327.0168557,1.0248968236772018,278059277.3144458,269251254.8361695,1.0327130229481594
NYTimes,Group Sampling,20,4000,200,76.0,272959020.9980747,263196798.48014703,1.0370909622544822,287029380.5339294,281616182.56566405,1.0192218995334303,278055227.2131894,270683991.7974737,1.027231885294609
NYTimes,Ray Maker,10,500,50,67.0,280285430.20101744,9952186.046481207,28.163202425271976,289194878.17452675,14968453.546606885,19.320290988916668,281795335.62910837,11398705.107065074,24.721697156148707
NYTimes,Ray Maker,10,500,50,72.0,280581125.24720657,8823193.026768021,31.80040654171031,287196641.2640717,12552738.473175574,22.879202165949142,281424131.3381483,9624091.792748332,29.24163000504618
NYTimes,Ray Maker,10,500,50,68.0,279948018.70870924,11302999.542915393,24.767586484083143,288357101.3397301,15209134.142716806,18.95946860839646,282595350.3563893,13599089.017470295,20.7804618378002
NYTimes,Ray Maker,10,500,50,65.0,280351169.0519906,8898763.897202834,31.504506950691653,287002742.6018771,13450278.621886631,21.338051847852356,281174946.1094082,10020182.449512145,28.060860920062172
NYTimes,Ray Maker,10,500,50,69.0,280499390.0825328,10459821.163020637,26.81684377876389,287978008.62948096,14597134.503119897,19.72839316976427,281394653.1531103,11134951.752760125,25.271295233350102
NYTimes,Ray Maker,10,500,50,67.0,280923327.0711665,11325164.602035414,24.805231265307842,290952011.0414662,16723152.418586453,17.39815578778653,282609107.5893641,12655220.890368614,22.331424321834373
NYTimes,Ray Maker,10,500,50,73.0,280238600.87481266,10673755.31898133,26.254920831514596,290826542.9839197,16716060.429070527,17.398031325499982,281069279.78767765,11757216.900374787,23.90610653603898
NYTimes,Ray Maker,10,500,50,67.0,280205418.9276579,9132916.34307757,30.68082618976837,287671181.8754178,13408474.840544604,21.45442977642442,283031113.8003081,11945920.247100387,23.6927007669424
NYTimes,Ray Maker,10,500,50,66.0,280741116.99862796,8972142.620037662,31.290309225763234,291422143.6120914,15761498.204270516,18.489495087029972,281939671.83484817,10550431.85795543,26.72304561848384
NYTimes,Ray Maker,10,500,50,69.0,281114178.415098,10165795.153316379,27.652945409134116,290366608.63824236,15922947.704421364,18.2357321036491,282235190.14875317,11482258.204435926,24.58011177972967
NYTimes,Ray Maker,20,4000,200,68.0,275591199.4256834,22808137.004491635,12.083021045138885,287210819.2624517,31751009.66794031,9.045722396426806,278279058.0609757,26789815.228793375,10.387494489394038
NYTimes,Ray Maker,20,4000,200,80.0,273982395.62844783,20947009.085508667,13.079785973740345,288522776.8536236,30722834.98664847,9.391150815965059,276738867.92434454,24271793.92886243,11.401665189455352
NYTimes,Ray Maker,20,4000,200,71.0,274470006.2041495,23742632.508791536,11.56021793718609,287216736.03205657,32608646.65684891,8.807993139197986,276781574.7033645,28295602.12583899,9.781787765902072
NYTimes,Ray Maker,20,4000,200,80.0,275580985.57384884,20061115.187550414,13.73707209182816,288479719.3365343,30403738.654787626,9.488297561428613,278107808.8837599,24299505.109881956,11.444998884798725
NYTimes,Ray Maker,20,4000,200,80.0,274962832.4553731,21731094.01859145,12.652967780643538,287149818.0254985,31291196.22530207,9.176696728305615,278095353.43816364,26463455.0902088,10.50865627674808
NYTimes,Ray Maker,20,4000,200,79.0,275308612.5859311,19398643.194642108,14.192158174339285,286583870.32491004,27440186.67116456,10.443947548872394,277619096.2028976,23273803.0728307,11.928394140577039
NYTimes,Ray Maker,20,4000,200,76.0,275203189.7748685,22527361.304024316,12.216397032070766,287823555.5576392,31544158.685155403,9.124464482645664,278329769.4911827,26347637.445302486,10.563746752208557
